able	할 수 있는
recently	최근의(= lately)
record	기록
refrigerator	냉장고
refuse	거절하다
regular	규칙적인, 보통의
rein	고삐
relative	친척, 관계가 있는
relay	교대자, 교대하다
religious	종교적인
remain	남다
remember	기억하다
remind	생각나게 하다
remove	제거하다, 옮기다
repeat	반복하다
replace	~을 대신하다, 제자리에 놓다
reply	대답, 대답하다
report	보고, 보고하다
republic	공화국
resources	자원
respect	존경하다
rest	휴식, 나머지
restaurant	식당
return	되돌아가다, 돌려주다
review	복습하다
revival	부활
revolution	혁명, 회전
rid	제거하다
riddle	수수께끼
ride	(탈 것에)타다
roar	으르렁거리다
robber	강도
roll	구르다, 두루마기
rope	밧줄
route	길
row	줄, 횡렬, 노젓다
rub	문지르다
rudely	무례하게
ruin	파멸
rule	규칙, 지배하다
sad	슬픈
safely	안전하게
sail	항해하다
sale	판매, 염가판매
salt	소금
sample	견본
sand	모래
save	구하다, 저축하다
saw	톱, 톱질하다
saying	격언
scar	상처
scare	겁주다, 위협하다
scene	장면, 현장
schedule	예정표
scholar	학자
science	과학
score	점수, 20
scratch	할퀴다, 긁다
scream	비명지르다
sculpture	조각품
search	찾다
seat	좌석, 앉히다
secretary	비서
section	부분, 구역
seed	씨, 씨 뿌리다
seldom	거의~하지 않다
select	고르다, 선택하다
semester	학기
senior	선배, 손위의
sentence	문장, 판결
series	연속, 시리즈
serious	진지한
servant	하인
settler	정착자
several	여럿의, 몇몇의
shade	그늘
shadow	그림자
shake	떨다, 흔들다
shape	모양
sharp	날카로운
sheep	양
sheet	침대의 시트, 종이 한 장
shell	조개
shine	빛나다
shock	충격, 충격을 주다
shoot	쏘다, 사격하다
shore	물가, 바닷가
short	짧은, 부족한
shoulder	어깨
shout	외치다
shower	소나기, 샤워
shrug	어깨를 으쓱하다
shut	닫다
sick	병든, 싫증난
sigh	한숨쉬다
sight	광경, 경치
sign	신호
silent	조용한, 침묵의
silk	비단
silly	어리석은
similar	비슷한
simple	간단한, 단순한
since	그 후, 때문에
sincerely	성실히
single	단 하나의, 독신의
sink	가라앉다
site	위치, 장소
situation	위치, 상황
skill	기술, 숙련
slave	노예
slide	미끄러지다
slip	미끄러짐
smart	똑똑한
smell	냄새, 냄새맡다
smoke	연기, 담배피다
snake	뱀
sniff	냄새맡다
social	사회의
solar	태양의
soldier	군인
solution	해결, 용해
sometime	언젠가
sophomore	2학년생
sore	아픈
sound	소리가 나다, 소리
source	출처, 근원
sow	씨를 뿌리다
space	공간, 우주
spade	삽
special	특별한
speech	말, 연설
spend	쓰다, 소비하다
spirit	정신, 영혼
spot	지점
square	정사각형, 광장
squirrel	다람쥐
stadium	경기장
stage	무대, 단계
stair	계단
stare	응시하다
state	상태, 국가, 말하다
statue	조각상
stay	머무르다
steady	꾸준한
steal	훔치다
stem	줄기, 유래하다
step	걸음, 단계, 조치
stethoscope	청진기
stomach	위, 배
stone	돌
store	가게, 저장하다
stormy	폭풍의
straight	똑바른
strange	이상한, 낯선
stream	흐름, 개울
stress	압박, 강조하다
stripe	줄무늬
struggle	노력, 분투하다
stupid	어리석은
subject	주어, 주제
suburb	교외
subway	지하도, 지하철
successful	성공한
such	그러한, 이러한
suck	빨다
suddenly	갑자기
suffer	고통을 겪다
sugar	설탕
suitcase	여행가방
sunrise	해돋이
sunshine	햇빛
superstition	미신
supply	공급, 공급하다
suppose	상상하다, 가정하다
surface	표면
surprise	놀라다
surround	둘러싸다
survive	살아남다
sweet	달콤한
swing	그네, 회전하다
sword	칼
symbol	상징
system	조직, 체계
tail	꼬리
taste	맛, 취향
tax	세금
tear	찢다, 눈물
teenager	10대
temperature	온도
temple	절, 사원
terrible	끔직한, 무서운
theater	극장
thermometer	온도계
thief	도둑
thin	얇은, 야윈
thirsty	목마른
though	비록~일지라도
throat	목구멍
throw	던지다
thumb	엄지손가락
ticket	표, 입장권
tie	매다, 묶다, 동점
tightly	단단히
tiny	몹시 작은
together	함께
tomb	무덤
tongue	혀, 언어
tool	도구
tooth	이
torch	햇불
touch	닿다, 감동시키다
tough	거친, 질긴
tourist	여행자
toward	~쪽으로
towel	수건, 타월
tower	탑
town	마을
track	지나간 자국, 선로
tradition	전통
traffic	교통
travel	여행자
treasure	보물
treat	다루다, 대접하다
trick	계략
trip	여행
triumph	승리
trouble	고생, 걱정하다
trousers	바지
trumpet	나팔
trust	신뢰
turkey	칠면조
turn	돌다, 변화하다
tuttle	바다거북
twice	두 번, 두배
twin	쌍둥이의 한 사람
type	유형
umbrella	우산
understand	이해하다
uniform	제복, 한 모양의
unity	통일, 일치
universe	우주, 전세계
unless	만약 ~하지 않는다면
unlike	같지 않은
upset	뒤업다, 당황케하다
upside down	거꾸로
useless	쓸모 없는
usually	보통, 대개
vacation	휴가
vain	헛된
valley	골짜기, 계곡
valuable	귀중한
various	여러가지의
vegetable	야채
view	경치, 의견
village	마을
voice	목소리
vote	투표하다, 투표
voyage	항해
wagon	짐마차
wake	깨우다
war	전쟁
warn	경고하다
waste	낭비하다
watch	손목시계, 지켜보다
weak	약한
wealth	재산, 부
wear	입다, 닳다
weather	날씨
wedding	결혼, 결혼식
weight	무게
wet	젖은
whether	~인지 아닌지
while	~하는 동안
whisker	구렛나루
whisper	속삭이다
whistle	휘파람을 불다
whole	전부
wide	넓은
wild	야생의, 난폭한
win	이기다, 얻다
wink	눈을 깜박거리다, 눈짓하다
wise	현명한
wish	소원, 원하다
without	~없이
wolf	늑대
wonderful	놀랄만한, 훌륭한
wood	나무, 숲
wool	양털
word	단어
worry	걱정하다
worth	가치, 가치가 있는
wound	상처, 부상
wrap	싸다
wrong	나쁜,틀린
yell	외치다
